hours_studied,attendance,parent_education,extra_activities,course_done,course_score,ct,st1,st2,put,final_grade
8.2,50.1,none,no,no,0.0,6.3,5.4,51.8,62.3,43.0
7.6,60.2,graduate,no,yes,88.4,3.1,43.8,69.8,12.1,45.1
0.1,70.4,graduate,yes,no,0.0,9.3,46.1,11.7,83.2,49.4
2.9,85.3,none,no,no,0.0,1.9,98.0,24.4,55.1,48.6
6.0,87.3,graduate,yes,no,0.0,8.2,27.6,79.0,41.5,49.3
2.8,64.9,none,yes,no,0.0,4.6,44.7,48.4,33.2,37.8
3.2,59.4,graduate,no,no,0.0,7.1,23.4,77.6,4.4,33.2
8.1,69.3,graduate,no,no,0.0,8.7,96.5,12.6,96.5,67.0
8.7,72.0,none,yes,yes,63.0,7.8,72.2,41.0,65.5,64.3
2.7,81.2,none,yes,no,0.0,9.5,85.2,85.2,85.9,74.8
6.3,94.4,none,yes,no,0.0,10.0,61.7,23.5,68.4,55.4
7.5,71.7,high_school,yes,yes,73.0,0.6,44.4,69.4,90.3,65.1
3.6,71.5,graduate,no,yes,84.4,3.8,56.6,79.3,17.0,49.9
6.8,74.9,graduate,yes,yes,96.0,4.7,46.1,25.4,25.5,43.4
2.9,77.3,high_school,no,no,0.0,6.9,94.5,98.8,29.9,59.8
4.6,65.1,none,no,no,0.0,9.9,10.7,38.1,35.9,36.0
3.0,98.9,none,no,yes,96.4,7.5,0.8,86.5,77.8,64.4
8.3,95.1,graduate,no,yes,85.1,9.0,21.9,19.0,25.1,42.1
6.5,65.4,none,yes,no,0.0,3.3,58.0,73.2,9.0,38.8
4.2,60.0,master,no,no,0.0,9.7,83.0,25.7,82.5,61.3
3.0,93.5,high_school,no,no,0.0,9.7,96.3,14.1,96.7,67.0
8.0,68.3,none,yes,no,0.0,5.8,26.4,12.4,36.9,32.0
8.2,97.0,high_school,yes,no,0.0,9.2,47.1,62.0,94.3,68.3
2.2,53.2,none,no,yes,72.2,4.9,64.9,11.7,4.5,32.5
1.0,94.4,graduate,no,no,0.0,5.9,45.4,67.0,74.3,55.9
7.3,94.3,high_school,no,no,0.0,2.2,61.6,93.9,28.0,50.1
4.4,61.8,master,yes,no,0.0,0.6,98.1,36.7,90.2,59.9
2.8,98.4,none,yes,yes,62.0,3.3,66.3,64.2,59.7,59.8
9.9,89.3,graduate,yes,yes,73.1,1.5,83.0,55.4,58.6,63.5
9.0,50.1,graduate,yes,yes,65.3,3.6,54.0,79.9,11.0,47.2
7.9,79.4,high_school,yes,yes,89.8,4.8,26.5,12.7,42.1,42.2
7.8,75.7,high_school,no,no,0.0,4.6,50.4,94.5,4.3,42.6
9.6,53.0,none,no,no,0.0,0.7,42.6,10.8,71.2,40.2
0.8,80.4,high_school,yes,no,0.0,3.8,27.5,63.3,54.8,42.8
6.0,64.7,none,yes,yes,77.2,8.9,79.3,11.4,65.5,60.6
4.1,91.4,none,no,no,0.0,3.7,73.0,31.3,31.3,40.6
1.5,96.1,high_school,yes,no,0.0,8.1,83.2,9.3,9.7,35.1
5.6,79.3,master,yes,no,0.0,8.7,41.1,87.4,94.1,69.4
7.2,98.4,master,no,no,0.0,2.2,10.4,50.7,15.5,27.6
1.1,92.3,master,yes,yes,84.4,6.6,76.3,57.4,80.7,71.2
6.9,51.4,master,no,yes,82.7,4.0,92.2,35.1,18.1,49.2
1.4,81.7,high_school,yes,no,0.0,1.6,74.6,21.5,42.0,38.2
3.1,66.2,high_school,yes,yes,70.9,6.6,15.6,75.4,5.0,38.2
4.9,72.1,master,yes,no,0.0,6.8,75.5,11.4,43.0,43.1
5.9,76.3,master,yes,yes,72.1,2.1,22.1,98.4,5.5,41.8
1.4,62.8,master,yes,no,0.0,5.3,0.8,74.7,17.6,29.5
2.3,77.9,master,yes,no,0.0,9.2,39.7,74.2,43.6,50.1
8.6,78.8,none,no,yes,92.1,6.2,29.0,40.5,96.6,66.5
8.3,96.0,high_school,no,yes,75.8,3.1,84.4,24.3,58.9,59.0
3.4,66.7,graduate,yes,no,0.0,3.5,51.0,11.4,51.0,36.3
9.6,82.3,graduate,yes,yes,90.4,6.6,10.3,25.6,17.3,36.9
1.8,88.6,none,no,no,0.0,8.6,75.4,76.0,44.9,57.7
6.3,57.5,high_school,no,yes,74.1,0.7,44.2,30.3,27.5,37.3
4.6,51.9,master,no,no,0.0,4.6,7.7,86.4,85.5,54.0
5.5,89.6,high_school,no,no,0.0,5.0,90.9,57.2,18.8,47.5
9.6,72.5,master,yes,no,0.0,9.9,50.5,17.3,24.8,39.3
5.2,80.5,master,no,yes,91.6,6.5,91.8,38.7,77.4,71.6
0.7,54.7,none,no,yes,73.3,5.8,25.2,85.2,96.4,67.2
1.4,67.5,none,yes,no,0.0,6.4,59.5,93.8,31.0,50.4
3.3,56.4,high_school,no,yes,73.7,7.7,50.8,1.8,30.9,39.3
1.9,100.0,graduate,yes,yes,86.5,8.8,29.6,78.8,50.8,60.3
6.2,79.9,graduate,yes,yes,88.8,0.4,18.1,69.3,62.5,52.6
3.6,86.0,none,no,yes,72.4,8.1,75.2,78.4,23.4,59.2
4.7,91.8,master,no,no,0.0,9.7,46.2,28.2,38.2,43.0
8.2,90.1,graduate,no,yes,88.5,5.2,5.2,48.1,37.1,44.4
1.2,54.2,graduate,no,yes,97.9,2.2,44.9,51.3,83.1,59.5
4.5,67.5,high_school,no,yes,75.0,0.3,5.3,50.2,23.6,31.6
9.3,92.0,master,yes,yes,90.4,4.7,13.8,28.7,83.0,56.4
6.2,95.3,high_school,no,no,0.0,1.1,21.6,15.0,94.0,44.5
2.9,65.1,high_school,yes,yes,93.5,5.0,42.0,79.4,45.7,57.0
5.4,81.6,graduate,yes,no,0.0,1.9,29.1,0.2,35.3,25.1
6.7,76.2,master,yes,yes,75.6,4.7,95.3,54.4,78.6,72.9
6.4,99.1,master,yes,yes,90.9,7.4,35.7,6.8,24.1,40.4
3.3,52.2,master,yes,no,0.0,6.3,83.0,68.5,98.1,70.3
8.1,53.2,none,yes,yes,72.6,3.1,29.3,4.4,19.9,29.8
4.0,90.8,none,no,yes,94.6,3.3,3.7,64.7,28.6,41.6
1.2,68.4,none,no,no,0.0,6.9,89.5,38.7,97.4,65.8
3.7,89.9,master,yes,yes,81.8,3.2,72.7,7.9,60.2,51.9
0.8,83.0,master,no,no,0.0,4.5,60.3,42.6,69.0,50.3
7.3,95.6,none,no,no,0.0,3.6,63.9,79.1,5.7,42.3
8.0,84.0,high_school,yes,yes,62.7,7.8,84.9,67.8,43.8,66.0
3.7,69.1,high_school,yes,yes,83.0,5.3,67.9,94.9,37.2,62.6
4.0,82.5,graduate,yes,yes,70.5,2.6,2.6,18.6,51.8,35.6
4.5,99.8,master,no,yes,95.9,4.5,20.0,13.6,7.4,30.3
0.9,84.1,master,no,no,0.0,8.5,71.0,55.0,29.0,47.1
7.1,96.4,graduate,no,yes,69.5,4.9,50.9,12.1,20.1,38.8
3.6,78.6,none,yes,no,0.0,5.3,61.2,8.6,30.9,34.3
7.7,91.2,high_school,yes,no,0.0,1.3,97.2,64.2,45.0,55.5
8.3,77.6,graduate,yes,yes,80.7,3.0,43.3,91.1,5.5,47.6
1.6,96.7,graduate,no,yes,70.0,6.4,94.7,51.9,28.4,56.9
5.5,56.3,master,yes,yes,66.8,6.2,50.3,16.9,94.2,60.1
9.0,66.9,high_school,yes,no,0.0,6.5,8.1,94.9,77.1,58.1
7.7,70.8,high_school,no,no,0.0,4.8,88.9,54.6,64.2,60.2
8.0,84.2,master,no,no,0.0,4.6,7.3,6.0,44.0,28.7
3.4,57.2,master,no,yes,72.8,4.7,97.5,13.1,37.1,49.8
2.7,62.4,high_school,yes,yes,98.5,9.0,29.0,38.4,61.5,55.2
8.1,96.7,master,yes,no,0.0,8.8,76.3,49.8,51.5,58.4
5.0,54.5,none,no,yes,71.3,6.0,96.7,21.5,35.3,52.6
8.4,83.6,master,yes,no,0.0,7.6,84.7,43.1,88.2,68.0
3.7,70.0,graduate,no,no,0.0,8.3,55.3,7.4,50.4,41.3
6.2,80.6,graduate,yes,no,0.0,7.5,39.4,79.5,33.9,48.6
2.0,75.5,high_school,yes,no,0.0,1.5,3.9,71.4,80.4,45.5
8.9,57.0,master,yes,no,0.0,5.1,39.3,61.7,84.3,57.9
5.1,74.5,master,no,no,0.0,5.8,81.6,36.8,67.4,56.0
8.0,86.3,high_school,no,yes,88.9,5.8,26.6,65.6,97.2,70.6
1.7,81.5,none,yes,yes,67.6,4.4,82.2,24.2,57.3,54.6
4.2,70.6,graduate,no,yes,88.2,5.2,50.2,61.1,47.2,56.1
5.6,99.9,none,no,no,0.0,5.5,31.4,17.3,91.2,50.4
6.8,93.4,master,no,yes,97.7,9.8,19.2,24.7,55.8,53.2
7.7,85.2,none,no,no,0.0,2.9,48.0,56.0,93.4,59.8
5.7,77.2,none,no,no,0.0,9.6,95.5,80.5,29.0,60.2
0.8,96.2,master,no,no,0.0,1.4,21.4,82.8,27.1,35.6
6.2,79.3,graduate,yes,yes,64.0,3.3,67.0,53.1,63.8,59.9
4.7,84.1,graduate,yes,no,0.0,4.8,96.5,97.8,15.8,55.0
2.0,98.2,master,no,yes,81.4,7.2,64.6,90.8,8.9,55.0
9.4,95.7,graduate,no,no,0.0,7.9,88.2,17.6,92.0,66.1
1.9,87.5,master,yes,no,0.0,2.8,0.9,56.8,10.7,22.9
9.9,77.2,none,yes,yes,73.2,7.3,85.1,46.8,19.3,55.6
6.5,85.9,high_school,no,yes,84.4,6.4,79.1,56.8,75.7,72.3
4.1,71.4,master,yes,no,0.0,3.2,40.1,9.5,98.2,48.2
2.5,63.0,graduate,no,yes,70.5,3.6,75.4,95.4,30.2,58.3
2.4,83.4,none,no,no,0.0,6.9,16.0,68.6,92.3,56.9
6.4,97.0,master,yes,no,0.0,4.2,21.9,13.4,15.3,23.9
5.5,73.5,graduate,yes,no,0.0,5.3,68.0,59.6,78.7,60.9
3.6,95.9,high_school,yes,yes,66.6,8.5,82.9,90.3,20.2,62.5
4.4,84.0,none,yes,yes,80.5,4.6,89.9,44.5,5.6,47.6
0.6,73.1,master,yes,yes,61.8,3.4,39.6,81.6,74.6,60.2
0.6,99.7,high_school,no,no,0.0,3.7,3.2,40.9,76.9,40.9
8.9,72.4,none,no,yes,86.1,3.5,8.0,96.4,87.5,67.3
1.8,76.9,graduate,yes,no,0.0,6.7,83.5,75.6,97.8,72.6
5.4,76.6,graduate,yes,yes,61.3,6.6,46.1,15.5,18.8,37.2
6.1,96.8,high_school,yes,yes,69.8,0.4,20.6,10.1,3.4,22.4
4.4,77.0,high_school,yes,no,0.0,5.8,50.4,28.9,81.6,52.2
7.7,90.9,graduate,no,no,0.0,3.0,87.6,98.6,52.1,64.3
0.6,97.4,graduate,no,no,0.0,7.9,55.6,4.7,34.4,35.5
3.2,70.8,graduate,no,yes,72.0,7.1,37.6,75.4,47.4,56.3
8.1,95.7,none,no,yes,73.2,0.8,55.7,13.4,24.3,38.1
4.5,68.6,graduate,yes,yes,67.5,7.6,26.8,67.4,60.3,57.0
7.2,77.9,none,yes,yes,68.5,1.9,86.9,33.3,95.7,69.0
7.4,87.3,none,yes,yes,82.1,7.8,69.6,70.4,39.7,64.0
3.8,76.7,master,no,yes,92.1,7.2,26.2,51.3,49.7,52.6
7.6,66.0,graduate,no,yes,60.6,5.5,31.3,4.6,86.4,51.8
5.8,86.0,master,yes,yes,80.0,6.5,19.6,23.0,57.0,47.3
6.8,62.9,none,no,yes,88.8,4.9,46.1,73.3,35.2,54.8
9.2,77.1,high_school,yes,yes,90.6,4.1,83.9,7.4,81.8,64.4
8.4,61.6,graduate,yes,no,0.0,6.6,21.9,45.6,6.0,29.2
0.2,76.6,none,yes,no,0.0,0.2,1.7,72.2,53.6,35.0
8.1,83.7,graduate,yes,no,0.0,8.2,91.8,52.4,24.1,52.5
2.7,69.8,master,no,no,0.0,6.8,45.9,24.3,69.7,46.6
8.5,82.7,high_school,yes,yes,88.1,0.8,40.5,37.7,47.6,47.9
8.5,82.2,master,yes,no,0.0,2.7,89.5,91.9,23.0,54.2
9.2,84.2,master,yes,yes,83.5,7.5,17.9,85.0,1.6,45.7
7.1,69.9,high_school,no,no,0.0,6.8,16.2,24.0,83.5,46.9
5.4,69.2,graduate,yes,no,0.0,2.3,50.1,97.4,5.4,39.6
0.8,80.3,none,no,no,0.0,2.3,3.0,27.3,99.3,42.6
5.5,68.8,graduate,no,yes,63.3,1.5,8.6,61.9,79.8,52.1
7.1,81.7,none,no,no,0.0,3.6,36.1,9.2,94.3,48.6
2.7,56.6,graduate,no,yes,63.6,5.5,44.9,55.5,40.8,48.4
6.0,89.2,none,yes,yes,82.9,1.7,29.2,38.8,8.5,33.6
3.8,56.9,master,no,no,0.0,3.0,49.3,6.3,43.5,31.9
7.8,68.1,graduate,no,no,0.0,0.1,59.4,19.6,10.7,26.4
4.0,92.1,none,no,yes,72.0,6.0,44.0,43.1,82.4,61.9
7.0,74.0,graduate,no,no,0.0,9.7,96.9,29.1,69.5,63.0
7.8,66.3,master,no,yes,87.3,5.5,36.5,93.2,20.0,53.4
9.5,73.1,graduate,no,no,0.0,6.7,79.8,83.1,6.9,49.8
1.4,65.1,master,yes,no,0.0,5.8,71.5,78.9,7.4,42.1
5.3,96.2,none,yes,yes,64.4,2.5,79.1,36.0,89.6,66.3
6.6,58.3,high_school,no,yes,60.4,2.6,96.7,33.2,79.6,64.7
5.1,75.9,graduate,no,yes,73.8,0.2,37.4,46.3,68.0,51.1
1.0,70.8,high_school,yes,no,0.0,4.6,83.1,73.0,34.8,50.3
2.1,74.1,none,yes,no,0.0,0.4,43.8,69.7,31.9,37.4
7.1,51.1,master,yes,yes,80.6,5.5,67.7,16.4,98.4,66.0
3.3,71.3,none,yes,no,0.0,4.0,79.8,63.0,18.6,43.4
7.4,94.2,none,no,yes,83.1,8.0,38.9,70.5,20.6,52.8
5.4,68.3,graduate,no,no,0.0,6.0,11.4,67.1,48.9,42.5
6.1,79.4,master,no,no,0.0,9.2,84.6,61.7,81.4,69.9
5.9,83.6,master,yes,yes,80.4,4.2,23.9,11.7,37.3,37.7
1.4,69.2,graduate,no,yes,82.2,4.9,63.6,69.3,64.5,63.2
1.4,65.7,none,yes,yes,92.6,9.6,86.6,95.2,48.5,73.8
5.1,74.7,none,no,yes,91.8,2.2,71.0,44.4,16.7,45.8
0.3,61.2,master,yes,no,0.0,5.5,78.1,56.6,77.3,58.8
1.1,55.7,master,yes,no,0.0,1.0,76.0,44.1,21.9,34.9
8.3,87.6,master,yes,no,0.0,8.7,45.0,34.9,81.7,57.7
1.2,90.6,graduate,no,yes,91.4,8.1,86.1,61.0,42.8,64.6
8.1,78.5,master,yes,no,0.0,9.5,32.4,70.4,28.9,46.7
5.1,95.0,high_school,yes,no,0.0,8.7,96.3,78.6,91.9,78.5
1.3,93.3,graduate,yes,no,0.0,4.9,71.1,82.8,76.1,63.8
5.8,63.4,none,no,yes,76.1,7.5,45.2,63.4,88.0,69.3
6.9,93.9,none,no,yes,89.2,4.6,32.7,0.2,77.4,51.5
6.6,67.9,high_school,no,no,0.0,3.2,21.8,43.0,21.2,29.2
2.8,77.4,graduate,no,yes,64.0,7.8,78.8,89.4,76.2,76.0
4.6,56.2,graduate,no,yes,95.3,3.0,45.7,99.2,42.8,59.5
8.7,93.8,high_school,no,yes,62.1,6.3,25.0,37.2,90.4,61.1
7.3,87.8,none,yes,yes,83.7,5.2,70.4,0.1,47.7,50.0
4.5,50.4,master,yes,yes,69.2,0.9,98.8,42.2,13.2,44.8
8.1,55.2,master,no,yes,85.7,6.8,13.7,77.3,75.3,63.0
0.7,78.2,graduate,no,no,0.0,6.2,35.1,21.3,74.8,44.2
4.4,60.9,high_school,yes,no,0.0,3.1,75.2,59.0,38.4,46.7
1.4,63.8,high_school,yes,yes,93.9,6.6,55.3,60.0,60.8,61.2
3.0,75.9,graduate,no,yes,79.8,1.1,29.6,5.5,89.8,48.3
5.0,79.7,high_school,no,no,0.0,3.7,93.4,13.2,86.1,57.3
6.8,88.1,high_school,yes,yes,97.9,4.0,58.7,1.4,21.6,40.1
2.9,85.6,none,no,yes,71.1,3.1,70.2,8.2,53.7,47.7
5.1,60.2,graduate,no,yes,72.4,4.4,39.1,63.4,83.5,62.7
9.5,61.9,graduate,yes,yes,72.4,7.4,92.5,11.6,61.2,61.7
7.4,56.0,graduate,yes,no,0.0,1.7,16.4,95.3,52.3,46.2
1.3,89.1,master,yes,no,0.0,5.2,77.1,2.9,80.7,50.5
2.6,98.8,high_school,no,yes,74.7,2.6,45.5,36.0,50.0,47.6
1.0,78.7,high_school,yes,yes,69.8,4.7,74.1,0.3,85.9,56.8
3.8,57.5,high_school,no,no,0.0,2.7,22.5,24.8,91.6,44.4
0.8,68.6,high_school,yes,no,0.0,0.7,22.3,51.6,4.6,20.7
4.7,64.1,master,no,no,0.0,5.6,8.6,45.7,36.9,33.1
3.0,81.1,none,no,yes,89.3,5.5,59.2,49.3,77.3,64.9
8.0,57.5,none,yes,yes,98.0,0.0,23.3,34.6,84.0,53.5
6.6,92.5,master,yes,yes,98.9,1.4,20.5,98.3,42.0,55.6
2.8,52.2,graduate,no,yes,83.2,5.1,70.1,37.2,97.5,68.1
6.4,69.7,high_school,no,no,0.0,9.3,66.2,13.1,29.2,40.6
3.9,91.6,master,no,yes,91.2,5.8,45.3,23.4,94.4,63.5
1.6,58.2,none,no,yes,78.1,4.6,40.7,53.6,96.5,63.9
8.5,54.5,master,yes,yes,98.7,4.0,21.5,85.7,14.8,46.7
0.5,64.9,graduate,yes,yes,63.8,1.0,95.2,85.5,55.6,63.7
7.9,56.1,high_school,yes,yes,83.3,2.6,13.1,82.4,37.2,47.9
8.1,51.1,high_school,yes,no,0.0,1.2,90.2,44.3,12.9,38.6
9.4,52.5,none,no,no,0.0,2.1,49.6,38.3,42.7,39.8
1.9,64.0,graduate,yes,no,0.0,4.1,61.4,61.7,64.7,52.3
5.5,53.0,master,no,yes,85.2,8.0,13.7,19.9,88.5,55.2
7.9,99.5,master,no,no,0.0,3.9,54.5,48.5,91.3,60.8
1.8,65.9,graduate,yes,no,0.0,5.3,89.6,77.9,5.9,44.8
7.7,100.0,graduate,yes,yes,90.6,9.5,24.8,24.1,53.4,53.2
5.8,99.1,none,no,yes,83.7,8.1,93.5,99.2,17.4,68.1
7.0,95.7,high_school,no,yes,93.5,8.1,94.8,56.4,56.3,72.9
9.7,77.1,graduate,no,yes,81.1,0.0,3.8,5.6,60.2,36.8
9.2,60.1,graduate,no,no,0.0,0.6,71.7,91.9,84.4,66.2
1.5,85.2,graduate,yes,no,0.0,7.0,84.6,86.1,96.1,75.0
6.6,79.3,master,no,no,0.0,7.9,32.3,97.6,73.2,63.1
9.6,82.5,graduate,no,no,0.0,7.3,22.3,58.9,17.5,37.7
2.9,58.9,high_school,no,yes,84.1,9.2,85.1,77.1,56.7,71.5
9.7,61.0,high_school,no,no,0.0,1.7,14.1,74.5,23.8,34.5
8.9,54.4,master,no,no,0.0,2.6,1.1,21.0,69.3,35.0
1.1,50.1,none,no,no,0.0,8.8,73.3,96.9,88.5,72.4
3.5,68.8,none,yes,no,0.0,0.2,16.3,7.4,84.6,35.5
2.6,55.2,master,yes,yes,73.5,9.9,88.8,16.1,7.5,44.5
8.9,85.2,none,yes,no,0.0,2.1,60.7,43.4,5.4,33.2
1.9,84.9,master,no,no,0.0,1.5,29.7,9.6,39.3,26.3
3.6,71.4,master,no,no,0.0,9.8,20.0,2.6,17.1,24.8
4.7,55.8,none,no,no,0.0,1.8,48.9,66.1,9.1,32.7
8.9,68.5,none,yes,no,0.0,5.6,26.3,46.5,22.6,34.8
1.5,84.8,high_school,yes,yes,82.1,8.4,66.8,80.8,41.4,63.5
8.2,70.9,none,yes,yes,80.1,9.0,47.6,7.9,90.3,62.8
8.0,83.9,graduate,yes,yes,98.9,8.1,94.9,44.9,94.9,82.6
1.3,71.2,none,yes,no,0.0,3.2,99.7,62.7,83.4,64.9
7.3,90.4,high_school,no,no,0.0,9.2,55.6,55.2,85.7,65.2
0.1,85.0,none,yes,yes,97.0,5.6,41.4,14.8,58.8,48.5
1.0,64.3,master,no,no,0.0,0.4,26.4,65.5,57.2,39.7
2.8,57.2,none,yes,yes,89.8,9.2,39.6,87.9,69.1,68.7
9.0,51.0,master,no,yes,98.9,2.3,28.0,49.2,69.6,55.6
3.0,87.2,master,no,no,0.0,2.1,72.9,60.5,8.9,37.3
8.2,87.0,master,yes,no,0.0,1.4,51.5,15.9,31.1,32.7
8.5,94.0,high_school,yes,yes,61.3,0.5,19.3,83.3,83.7,61.2
3.6,60.0,master,no,yes,69.7,4.9,50.5,63.5,12.4,43.2
4.5,98.0,none,no,yes,71.4,3.9,34.4,83.8,25.9,49.6
1.6,78.6,graduate,yes,no,0.0,5.1,64.7,67.8,26.9,44.4
8.6,98.4,high_school,no,yes,69.0,6.1,91.2,64.7,60.1,71.4
9.4,85.6,master,no,yes,78.7,6.8,89.5,85.2,45.9,72.4
8.2,69.9,high_school,yes,no,0.0,5.6,51.2,66.2,84.3,62.0
5.9,64.1,high_school,no,no,0.0,2.6,6.4,98.8,64.1,49.0
7.1,94.6,master,yes,no,0.0,6.6,15.0,76.5,90.0,60.2
6.8,86.1,none,no,yes,83.3,9.9,25.9,41.9,38.8,51.1
8.2,67.2,graduate,no,yes,93.6,8.8,90.7,67.2,50.7,72.4
